id,template_id,category,check_point,specification,expected_value,acceptance_criterion,tolerance,photos_required,priority,line_order
d865d948-3aa9-508d-9b7b-cc4c9c26c7a7,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,Before Excavation,"Site Inspection: Site Inspection done to evaluate existing conditions, obstructions including underground service lines if any?",NULL,NULL,NULL,NULL,false,medium,0
e31de210-1b06-586e-b5bb-11792a0dbfb8,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,Before Excavation,"Visual Documentation: Documentation done for the current status of nearby structures through photos, videos or other records?",NULL,NULL,NULL,NULL,true,medium,1
ae14c6f0-4437-58a5-9c57-9ff0ee0dda30,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,Before Excavation,"Clearing the Site: Site clearance done for vegetation, debris, and obstructions as necessary before excavation begins?",NULL,NULL,NULL,NULL,false,medium,2
f56f0e30-0709-5c7c-8d4f-593bbe2d03d7,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,Before Excavation,"Excavation Planning: Excavation plan done specifying depths, slopes, and locations for different areas within the site.",NULL,NULL,NULL,NULL,false,medium,3
5615d19d-d291-5742-bf84-b81c40795454,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,Before Excavation,Plan for Dewatering: Has a plan for dewatering been established to manage water levels effectively during excavation?,NULL,NULL,NULL,NULL,false,medium,4
2848ca48-0a60-5ca4-ab08-491152e97ea1,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,Before Excavation,"Excavation Safety: Are safety measures, including protective gear and barriers, implemented to ensure worker safety during excavation and safety training provided to workers and equipment operators?",NULL,NULL,NULL,NULL,false,medium,5
1f59a688-49b4-53fb-be68-f8616bf4e5d5,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,Before Excavation,"Excavation Equipment: Has the excavation equipment been checked to ensure that it is in good working condition including operator license, equipment insurance etc?",NULL,NULL,NULL,NULL,false,medium,6
447e1e23-217c-53aa-bb98-f689e4e70e41,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,Before Excavation,"Verification of Documents: Have documents such as operator licenses, equipment insurance, and other relevant documents been verified?",NULL,NULL,NULL,NULL,false,medium,7
bc6c7d29-f6aa-5877-b6bb-02c0bdae4969,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,Before Excavation,Checking the Dimension: Are the trench dimensions verified to conform to the specifications outlined in the construction drawings?,NULL,NULL,NULL,NULL,false,medium,8
0b8f659b-226b-5597-bcbd-fd797c7de853,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,During Excavation,Soil Excavation: Was the excavation checked based on the drawing?,NULL,NULL,NULL,NULL,false,medium,9
0544ba28-58ff-5b0f-9c4a-95be81c227e9,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,During Excavation,Adequate Working Spaces: Has confirmation been made that there are sufficient working spaces provided all around the excavation area for safe and efficient work?,NULL,NULL,NULL,NULL,false,medium,10
b8c84c61-7e1e-5702-a5db-dd110e74492c,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,During Excavation,"Embankment Construction: Have you checked if the embankments are made with the specified dimensions, slopes, and compaction requirements?",NULL,NULL,NULL,NULL,false,medium,11
ae2766e3-179c-57ba-a257-fbe5612d5323,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,During Excavation,Slope Stability: Are the slopes checked to ensure they are stable and safe for excavation?,NULL,NULL,NULL,NULL,false,medium,12
8d131b56-a0c8-502d-bc86-8472f7c9c08b,10f49b5b-78cf-5f26-8fec-1f4ca306f92e,During Excavation,Drainage Considerations: Has the drainage design and installation been checked to ensure dewatering of waterlogged areas?,NULL,NULL,NULL,NULL,false,medium,13
